Team1,Score1,Team2,Score2
New York JetsNYJ,20,Cleveland BrownsCLE,37
Detroit LionsDET,19,Dallas CowboysDAL,20
Atlanta FalconsATL,17,Chicago BearsCHI,37
Tennessee TitansTEN,3,Houston TexansHOU,26
New Orleans SaintsNO,23,Tampa Bay BuccaneersTB,13
San Francisco 49ersSF,27,Washington CommandersWAS,10
Carolina PanthersCAR,0,Jacksonville JaguarsJAX,26
New England PatriotsNE,21,Buffalo BillsBUF,27
Miami DolphinsMIA,19,Baltimore RavensBAL,56
Las Vegas RaidersLV,20,Indianapolis ColtsIND,23
Los Angeles RamsLA,26,New York GiantsNYG,25
Arizona CardinalsARI,35,Philadelphia EaglesPHI,31
Pittsburgh SteelersPIT,30,Seattle SeahawksSEA,23
Los Angeles ChargersLAC,9,Denver BroncosDEN,16
Cincinnati BengalsCIN,17,Kansas City ChiefsKC,25
Green Bay PackersGB,33,Minnesota VikingsMIN,10
Pittsburgh SteelersPIT,17,Baltimore RavensBAL,10
Houston TexansHOU,23,Indianapolis ColtsIND,19
Atlanta FalconsATL,17,New Orleans SaintsNO,48
Jacksonville JaguarsJAX,20,Tennessee TitansTEN,28
Cleveland BrownsCLE,14,Cincinnati BengalsCIN,31
Minnesota VikingsMIN,20,Detroit LionsDET,30
New York JetsNYJ,17,New England PatriotsNE,3
Tampa Bay BuccaneersTB,9,Carolina PanthersCAR,0
Denver BroncosDEN,14,Las Vegas RaidersLV,27
Kansas City ChiefsKC,13,Los Angeles ChargersLAC,12
Los Angeles RamsLA,21,San Francisco 49ersSF,20
Seattle SeahawksSEA,21,Arizona CardinalsARI,20
Chicago BearsCHI,9,Green Bay PackersGB,17
Philadelphia EaglesPHI,10,New York GiantsNYG,27
Dallas CowboysDAL,38,Washington CommandersWAS,10
Buffalo BillsBUF,21,Miami DolphinsMIA,14
Cleveland BrownsCLE,14,Houston TexansHOU,45
Miami DolphinsMIA,7,Kansas City ChiefsKC,26
Green Bay PackersGB,48,Dallas CowboysDAL,32
Los Angeles RamsLA,23,Detroit LionsDET,24
Pittsburgh SteelersPIT,17,Buffalo BillsBUF,31
Philadelphia EaglesPHI,9,Tampa Bay BuccaneersTB,32
Houston TexansHOU,10,Baltimore RavensBAL,34
Green Bay PackersGB,21,San Francisco 49ersSF,24
Tampa Bay BuccaneersTB,23,Detroit LionsDET,31
Kansas City ChiefsKC,27,Buffalo BillsBUF,24
